comment_id,vote,x_id
36,-1,452d2f4e-7434-4bc0-bb67-fa47b96d9e6e
20,1,55e229f3-4b57-4930-a7ed-844910104ab3
33,-1,55e229f3-4b57-4930-a7ed-844910104ab3
30,1,55e229f3-4b57-4930-a7ed-844910104ab3
18,-1,0bcfcea6-e612-46fb-ba4b-2ffbc00235e9
18,-1,7eaa9350-11a7-4aac-85b8-8e2c1b509e8a
35,-1,00ce2571-b23b-4975-bdb1-adbfbd882b52
17,-1,00ce2571-b23b-4975-bdb1-adbfbd882b52
23,-1,00ce2571-b23b-4975-bdb1-adbfbd882b52
0,1,35c6ca06-2e7a-41ba-8f33-41ce79fa09e6
17,-1,9c4f85ad-8a2c-41fc-aaed-3548a5c431e8
27,1,0bcfcea6-e612-46fb-ba4b-2ffbc00235e9
28,1,79921237-3899-4877-99d2-62fc33bb4bbc
27,1,92908b97-81d7-4c0b-8f6e-67de1993e429
23,-1,0d75710c-9671-40db-ba74-ad979a484cce
8,1,0d75710c-9671-40db-ba74-ad979a484cce
6,1,81e56552-f431-44c6-a23c-8aa7c0d051dc
17,-1,cd33f318-6c78-41d9-a9ee-b59a19f53c8d
29,0,79921237-3899-4877-99d2-62fc33bb4bbc
23,-1,cd33f318-6c78-41d9-a9ee-b59a19f53c8d
32,1,452d2f4e-7434-4bc0-bb67-fa47b96d9e6e
32,0,1da61af9-df92-4377-858e-e85d623648d0
3,-1,1da61af9-df92-4377-858e-e85d623648d0
2,-1,1da61af9-df92-4377-858e-e85d623648d0
33,-1,452d2f4e-7434-4bc0-bb67-fa47b96d9e6e
33,-1,b939cdb9-faa9-49a5-b1ac-726aeb6174c0
33,-1,81e56552-f431-44c6-a23c-8aa7c0d051dc
3,-1,5dafe606-d24a-42fc-b1ae-0075993b8ce4
13,-1,5e3f6547-e8ec-46bf-8d38-14d80e2a6e54
2,-1,3137f512-59d9-4627-881a-2903e12f8758
13,-1,a1e65b25-337d-4d2b-af3e-cc2257da4a1a
4,0,fefd4257-0de6-4ef0-9695-560ec0757fca
7,1,fefd4257-0de6-4ef0-9695-560ec0757fca
29,1,47cd06ea-ae75-424b-bc27-ce3410f430f4
13,-1,3137f512-59d9-4627-881a-2903e12f8758
27,-1,f8f1c1bd-b47f-43d4-9629-d2c95ff01cd7
33,0,a29c7263-ddd3-433b-a1fb-92af1aac76c2
27,-1,1c1ff7c6-71cf-4fc9-a333-60f8e4fc482c
6,-1,47cd06ea-ae75-424b-bc27-ce3410f430f4
34,1,47cd06ea-ae75-424b-bc27-ce3410f430f4
33,1,1bb559c5-0465-4ec0-8ef5-49908042d117
28,0,5dafe606-d24a-42fc-b1ae-0075993b8ce4
19,0,b7397eb6-5247-4bce-9058-f92443ddcf71
11,-1,b7397eb6-5247-4bce-9058-f92443ddcf71
32,1,b7397eb6-5247-4bce-9058-f92443ddcf71
6,-1,381822dd-4139-4c1f-8dea-7ecba318c59b
23,-1,381822dd-4139-4c1f-8dea-7ecba318c59b
4,-1,381822dd-4139-4c1f-8dea-7ecba318c59b
11,1,98b85458-c3a2-40ab-8281-88b5f47ffeeb
28,0,98b85458-c3a2-40ab-8281-88b5f47ffeeb
8,1,98b85458-c3a2-40ab-8281-88b5f47ffeeb
14,0,b7d387c3-15e3-4416-b3e5-c137ccfcc4fe
35,-1,cf56906c-9eeb-447a-9b32-504fcbaed5c4
35,-1,0bcfcea6-e612-46fb-ba4b-2ffbc00235e9
25,-1,452d2f4e-7434-4bc0-bb67-fa47b96d9e6e
20,-1,81e56552-f431-44c6-a23c-8aa7c0d051dc
33,-1,dc493105-e662-4d9a-9e55-71f6cef4e416
8,-1,6efafc2f-e31b-438f-b520-d95f79642f66
36,-1,cf56906c-9eeb-447a-9b32-504fcbaed5c4
37,-1,452d2f4e-7434-4bc0-bb67-fa47b96d9e6e
18,-1,f8f1c1bd-b47f-43d4-9629-d2c95ff01cd7
17,-1,7eaa9350-11a7-4aac-85b8-8e2c1b509e8a
0,1,7eaa9350-11a7-4aac-85b8-8e2c1b509e8a
23,-1,0bcfcea6-e612-46fb-ba4b-2ffbc00235e9
19,0,79921237-3899-4877-99d2-62fc33bb4bbc
27,1,79921237-3899-4877-99d2-62fc33bb4bbc
23,-1,55e229f3-4b57-4930-a7ed-844910104ab3
6,1,92908b97-81d7-4c0b-8f6e-67de1993e429
19,-1,81e56552-f431-44c6-a23c-8aa7c0d051dc
30,-1,81e56552-f431-44c6-a23c-8aa7c0d051dc
27,1,1da61af9-df92-4377-858e-e85d623648d0
7,-1,0bcfcea6-e612-46fb-ba4b-2ffbc00235e9
7,-1,1da61af9-df92-4377-858e-e85d623648d0
7,-1,81e56552-f431-44c6-a23c-8aa7c0d051dc
32,1,0d75710c-9671-40db-ba74-ad979a484cce
11,1,0d75710c-9671-40db-ba74-ad979a484cce
30,1,b7d387c3-15e3-4416-b3e5-c137ccfcc4fe
33,-1,1da61af9-df92-4377-858e-e85d623648d0
0,-1,b7d387c3-15e3-4416-b3e5-c137ccfcc4fe
3,-1,81e56552-f431-44c6-a23c-8aa7c0d051dc
1,-1,5dafe606-d24a-42fc-b1ae-0075993b8ce4
2,-1,5dafe606-d24a-42fc-b1ae-0075993b8ce4
29,-1,5e3f6547-e8ec-46bf-8d38-14d80e2a6e54
23,-1,9c4f85ad-8a2c-41fc-aaed-3548a5c431e8
6,-1,1c1ff7c6-71cf-4fc9-a333-60f8e4fc482c
31,-1,3137f512-59d9-4627-881a-2903e12f8758
19,-1,fefd4257-0de6-4ef0-9695-560ec0757fca
30,0,3137f512-59d9-4627-881a-2903e12f8758
30,-1,fefd4257-0de6-4ef0-9695-560ec0757fca
32,0,aa1232eb-f93a-4dcf-b2a7-933a3db65f18
34,-1,4b7326b8-6d23-48b2-b416-df2a274caeb8
30,1,5dafe606-d24a-42fc-b1ae-0075993b8ce4
2,-1,9cc3a0ef-8a50-4a8a-a0d3-7b32dbc9deeb
6,-1,9cc3a0ef-8a50-4a8a-a0d3-7b32dbc9deeb
31,-1,7eaa9350-11a7-4aac-85b8-8e2c1b509e8a
31,1,1bb559c5-0465-4ec0-8ef5-49908042d117
29,0,f8f1c1bd-b47f-43d4-9629-d2c95ff01cd7
13,-1,aa1232eb-f93a-4dcf-b2a7-933a3db65f18
11,0,3137f512-59d9-4627-881a-2903e12f8758
31,-1,9cc3a0ef-8a50-4a8a-a0d3-7b32dbc9deeb
34,1,f8f1c1bd-b47f-43d4-9629-d2c95ff01cd7
3,0,aa1232eb-f93a-4dcf-b2a7-933a3db65f18
6,-1,1bb559c5-0465-4ec0-8ef5-49908042d117
30,1,9cc3a0ef-8a50-4a8a-a0d3-7b32dbc9deeb
29,-1,9cc3a0ef-8a50-4a8a-a0d3-7b32dbc9deeb
32,1,1c1ff7c6-71cf-4fc9-a333-60f8e4fc482c
1,-1,f8f1c1bd-b47f-43d4-9629-d2c95ff01cd7
4,-1,1bb559c5-0465-4ec0-8ef5-49908042d117
7,-1,9cc3a0ef-8a50-4a8a-a0d3-7b32dbc9deeb
28,1,9cc3a0ef-8a50-4a8a-a0d3-7b32dbc9deeb
13,-1,f8f1c1bd-b47f-43d4-9629-d2c95ff01cd7
19,-1,3137f512-59d9-4627-881a-2903e12f8758
7,0,aa1232eb-f93a-4dcf-b2a7-933a3db65f18
34,1,1bb559c5-0465-4ec0-8ef5-49908042d117
2,-1,aa1232eb-f93a-4dcf-b2a7-933a3db65f18
17,-1,1bb559c5-0465-4ec0-8ef5-49908042d117
7,0,f8f1c1bd-b47f-43d4-9629-d2c95ff01cd7
6,0,aa1232eb-f93a-4dcf-b2a7-933a3db65f18
19,0,aa1232eb-f93a-4dcf-b2a7-933a3db65f18
0,1,1bb559c5-0465-4ec0-8ef5-49908042d117
8,0,aa1232eb-f93a-4dcf-b2a7-933a3db65f18
4,-1,b7397eb6-5247-4bce-9058-f92443ddcf71
1,-1,7eaa9350-11a7-4aac-85b8-8e2c1b509e8a
7,0,b7397eb6-5247-4bce-9058-f92443ddcf71
30,1,7eaa9350-11a7-4aac-85b8-8e2c1b509e8a
19,1,381822dd-4139-4c1f-8dea-7ecba318c59b
19,-1,98b85458-c3a2-40ab-8281-88b5f47ffeeb
3,-1,0fc13665-3364-4aec-ad7b-a646810b0482
14,-1,c2f60f28-6d1e-4729-ad72-f989a8911f18
0,1,c2f60f28-6d1e-4729-ad72-f989a8911f18
4,-1,0fc13665-3364-4aec-ad7b-a646810b0482
33,-1,0fc13665-3364-4aec-ad7b-a646810b0482
14,-1,452d2f4e-7434-4bc0-bb67-fa47b96d9e6e
35,-1,452d2f4e-7434-4bc0-bb67-fa47b96d9e6e
35,-1,81e56552-f431-44c6-a23c-8aa7c0d051dc
8,-1,5dafe606-d24a-42fc-b1ae-0075993b8ce4
21,-1,92908b97-81d7-4c0b-8f6e-67de1993e429
35,-1,7eaa9350-11a7-4aac-85b8-8e2c1b509e8a
21,-1,7eaa9350-11a7-4aac-85b8-8e2c1b509e8a
36,-1,7eaa9350-11a7-4aac-85b8-8e2c1b509e8a
25,-1,7eaa9350-11a7-4aac-85b8-8e2c1b509e8a
26,-1,0bcfcea6-e612-46fb-ba4b-2ffbc00235e9
4,-1,7eaa9350-11a7-4aac-85b8-8e2c1b509e8a
4,-1,2c7dfd50-cfb4-4f9c-8b21-ad78a1eb0ff7
0,1,81e56552-f431-44c6-a23c-8aa7c0d051dc
17,-1,5e3f6547-e8ec-46bf-8d38-14d80e2a6e54
0,-1,6efafc2f-e31b-438f-b520-d95f79642f66
0,-1,3137f512-59d9-4627-881a-2903e12f8758
19,-1,452d2f4e-7434-4bc0-bb67-fa47b96d9e6e
23,-1,79921237-3899-4877-99d2-62fc33bb4bbc
28,-1,4b7326b8-6d23-48b2-b416-df2a274caeb8
0,-1,55e229f3-4b57-4930-a7ed-844910104ab3
6,-1,b939cdb9-faa9-49a5-b1ac-726aeb6174c0
6,-1,0bcfcea6-e612-46fb-ba4b-2ffbc00235e9
30,-1,452d2f4e-7434-4bc0-bb67-fa47b96d9e6e
23,-1,1da61af9-df92-4377-858e-e85d623648d0
7,0,b939cdb9-faa9-49a5-b1ac-726aeb6174c0
31,-1,0d75710c-9671-40db-ba74-ad979a484cce
32,-1,81e56552-f431-44c6-a23c-8aa7c0d051dc
27,1,b7d387c3-15e3-4416-b3e5-c137ccfcc4fe
3,-1,452d2f4e-7434-4bc0-bb67-fa47b96d9e6e
28,1,13944e6a-e2d1-4eec-873e-2fdc643b67f1
29,0,5dafe606-d24a-42fc-b1ae-0075993b8ce4
19,1,1bb559c5-0465-4ec0-8ef5-49908042d117
19,-1,1c1ff7c6-71cf-4fc9-a333-60f8e4fc482c
31,-1,9c4f85ad-8a2c-41fc-aaed-3548a5c431e8
33,-1,350313a1-fa8b-478d-b682-f979e2a6b8de
23,-1,1c1ff7c6-71cf-4fc9-a333-60f8e4fc482c
33,-1,47cd06ea-ae75-424b-bc27-ce3410f430f4
1,-1,1c1ff7c6-71cf-4fc9-a333-60f8e4fc482c
3,-1,a29c7263-ddd3-433b-a1fb-92af1aac76c2
30,-1,9c4f85ad-8a2c-41fc-aaed-3548a5c431e8
33,-1,f8f1c1bd-b47f-43d4-9629-d2c95ff01cd7
34,0,aa1232eb-f93a-4dcf-b2a7-933a3db65f18
13,-1,9cc3a0ef-8a50-4a8a-a0d3-7b32dbc9deeb
29,0,aa1232eb-f93a-4dcf-b2a7-933a3db65f18
